date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/3,,vs,ND,2.0,1,0,0,0,1,2,36
4/29,,@,ND,1.0,0,0,0,0,0,1,10
4/24,,@,ND,1.2,1,0,0,0,0,1,28
4/20,,vs,ND,0.1,1,2,2,0,1,0,11
4/19,,vs,ND,0.2,1,0,0,0,0,0,16
4/17,,vs,ND,1.0,0,0,0,0,0,1,13
4/16,,@,ND,0.2,2,0,0,0,0,0,7
4/14,,@,ND,1.0,2,1,1,1,0,1,25
4/12,,@,W 1-0,1.1,1,0,0,0,0,0,16
4/10,,@,W 1-0,1.0,0,0,0,0,0,0,10
4/8,,vs,ND,0.1,1,0,0,0,1,0,15
4/7,,vs,ND,1.1,1,1,1,1,2,2,27
4/5,,vs,ND,2.0,2,2,2,1,0,2,34
4/1,,@,ND,0.1,0,1,1,0,2,0,15
3/31,,@,ND,1.0,0,0,0,0,0,1,9
3/29,,@,ND,0.2,0,0,0,0,1,1,14
3/26,,@,ND,1.0,1,0,0,0,1,0,24
