batter_name,batter_id,pa,pitches_seen,seasons,xwoba,barrel_rate,avg_exit_velo,whiff_pct,hard_hit_pct
Brendan Donovan,680977,5,20,2025–2026,0.796,,88.2,0.2,0.5
Connor Joe,656582,2,12,2022,0.716,,85.7,0.0,0.0
Luke Raley,670042,4,17,2024–2026,0.689,,103.0,0.5,1.0
Cole Young,702284,2,8,2025,0.556,,95.8,0.25,0.5
Cal Raleigh,663728,5,17,2024–2025,0.503,,99.8,0.2,0.667
Leo Rivas,660844,2,7,2024,0.434,,96.7,0.5,1.0
Randy Arozarena,668227,7,28,2020–2025,0.402,,94.2,0.333,0.5
J.P. Crawford,641487,7,32,2017–2025,0.373,,85.6,0.111,0.2
Dominic Canzone,686527,2,9,2025,0.309,,86.3,0.2,0.5
Julio Rodríguez,677594,5,27,2024–2025,0.234,,79.7,0.333,0.2
Josh Naylor,647304,7,33,2019–2021,0.097,,94.6,0.143,0.333
Patrick Wisdom,621550,2,9,2018–2026,0.0,,101.7,0.2,1.0
Mitch Garver,641598,1,6,2026,,,,0.333,
