batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Nick Sogard,686765,5,2025,0.6,0,0.495,0.4,0.0,84.3
Wilyer Abreu,677800,3,2026,0.333,0,0.43,0.333,0.2,81.4
Andruw Monasterio,655316,2,2026,0.0,0,0.307,0.0,0.167,89.0
Connor Wong,657136,14,2024–2026,0.214,0,0.297,0.3,0.36,88.0
Ceddanne Rafaela,678882,18,2024–2026,0.111,0,0.263,0.333,0.45,89.6
Adley Rutschman,668939,14,2021–2026,0.071,0,0.256,0.308,0.167,83.3
Jarren Duran,680776,19,2021–2026,0.105,0,0.229,0.385,0.361,79.5
Willson Contreras,575929,10,2019–2026,0.2,0,0.225,0.143,0.421,71.6
Caleb Durbin,702332,3,2026,0.0,0,0.19,0.5,0.4,85.2
Jahmai Jones,663330,2,2025,0.0,0,,0.0,0.25,76.2
