batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Yainer Diaz,673237,5,2025,0.8,0,0.503,0.6,0.0,90.6
Yordan Alvarez,670541,3,2026,0.333,0,0.47,0.667,0.0,100.4
Isaac Paredes,670623,9,2022–2026,0.333,1,0.458,0.375,0.05,82.6
Jake Meyers,676694,5,2025,0.4,1,0.449,0.75,0.267,99.2
Christian Vázquez,543877,4,2024–2026,0.25,0,0.343,0.333,0.091,93.7
Jose Altuve,514888,8,2025–2026,0.5,0,0.277,0.429,0.0,90.9
Daulton Varsho,662139,5,2022–2026,0.2,0,0.276,0.0,0.0,87.9
Jeremy Peña,665161,9,2025–2026,0.333,0,0.239,0.375,0.176,84.7
LaMonte Wade Jr.,664774,4,2024–2026,0.25,0,0.22,0.667,0.111,94.6
Christian Walker,572233,9,2022–2026,0.0,0,0.198,0.143,0.208,86.3
Nick Allen,669397,1,2022,0.0,0,0.066,0.0,0.333,59.0
Cam Smith,701358,5,2025–2026,0.0,0,0.048,0.333,0.273,85.0
