batter_name,batter_id,pa,pitches_seen,seasons,xwoba,barrel_rate,avg_exit_velo,whiff_pct,hard_hit_pct
Nick Kurtz,701762,5,24,2025,0.646,,98.2,0.3,0.5
Shea Langeliers,669127,9,27,2024–2025,0.506,,84.7,0.182,0.286
Tyler Soderstrom,691016,10,41,2024–2025,0.377,,98.9,0.188,0.6
Jacob Wilson,805779,8,29,2024–2025,0.37,,74.0,0.083,0.0
Max Muncy,691777,4,10,2025–2026,0.367,,99.2,0.5,0.5
Lawrence Butler,671732,6,20,2024–2025,0.304,,93.3,0.364,0.667
Zack Gelof,680869,6,24,2024–2026,0.054,,78.8,0.286,0.0
Darell Hernaiz,687231,2,7,2025,0.032,,90.6,0.5,0.0
Carlos Cortes,666126,1,4,2025,0.0,,,0.333,
Austin Wynns,642851,2,4,2026,,,107.1,0.0,1.0
Jeff McNeil,643446,3,12,2026,,,88.9,0.0,0.0
