game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
822727,2026-06-03T17:05:00Z,MIA @ WSH,WSH,MIA,Andrew Alvarez,Max Meyer,674841,676974,2.8,6,0.132,10,4.42,8,0.253,22
822973,2026-06-03T17:10:00Z,DET @ TB,TB,DET,Nick Martinez,Troy Melton,607259,675512,6.22,10,0.485,40,,2,0.346,1
823701,2026-06-03T17:40:00Z,CWS @ MIN,MIN,CWS,Taj Bradley,Erick Fedde,671737,607200,7.6,7,0.359,26,2.16,9,0.24,37
823130,2026-06-03T19:40:00Z,NYM @ SEA,SEA,NYM,George Kirby,Freddy Peralta,669923,642547,6.13,6,0.408,42,3.25,11,0.192,63
823456,2026-06-03T22:40:00Z,SD @ PHI,PHI,SD,Cristopher Sánchez,Walker Buehler,650911,621111,4.06,10,0.353,65,4.9,10,0.394,76
824755,2026-06-03T22:45:00Z,BAL @ BOS,BOS,BAL,Payton Tolle,Chris Bassitt,801139,605135,,1,0.691,0,2.84,11,0.302,90
823540,2026-06-03T23:05:00Z,CLE @ NYY,NYY,CLE,Gerrit Cole,Gavin Williams,543037,668909,4.92,7,0.276,54,6.13,9,0.356,35
824509,2026-06-03T23:10:00Z,KC @ CIN,CIN,KC,Chase Burns,Stephen Kolek,695505,663568,,0,,0,1.7,7,0.324,20
824917,2026-06-03T23:15:00Z,TOR @ ATL,ATL,TOR,Grant Holmes,Patrick Corbin,656550,571578,6.31,9,0.452,34,5.42,12,0.376,124
823780,2026-06-03T23:40:00Z,SF @ MIL,MIL,SF,Robert Gasser,Logan Webb,688107,657277,,0,,0,3.19,11,0.329,86
823051,2026-06-03T23:45:00Z,TEX @ STL,STL,TEX,Andre Pallante,MacKenzie Gore,669467,669022,2.99,5,0.295,22,2.8,9,0.263,50
824671,2026-06-04T00:05:00Z,ATH @ CHC,CHC,ATH,Colin Rea,Jeffrey Springs,607067,605488,5.42,12,0.352,31,5.04,8,0.452,28
824188,2026-06-04T00:10:00Z,PIT @ HOU,HOU,PIT,Spencer Arrighetti,Paul Skenes,681293,694973,6.51,4,0.346,11,3.99,7,0.171,30
824024,2026-06-04T01:38:00Z,COL @ LAA,LAA,COL,Walbert Ureña,Michael Lorenzen,700712,547179,,0,,0,4.15,11,0.386,74
825077,2026-06-04T01:40:00Z,LAD @ AZ,AZ,LAD,Zac Gallen,Shohei Ohtani,668678,660271,3.97,12,0.295,126,4.7,8,0.345,23
