game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824818,2026-07-01T16:35:00Z,CWS @ BAL,BAL,CWS,TBD,Noah Schultz,,702273.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
824419,2026-07-01T17:10:00Z,TEX @ CLE,CLE,TEX,Joey Cantillo,MacKenzie Gore,676282.0,669022.0,0.97,,,,,,,,,,,,,,,,,,,8.0,0.336,29.0,5.5,3.65,1.92,1.92,3.0,0.375,14.0
824740,2026-07-01T17:35:00Z,WSH @ BOS,BOS,WSH,Payton Tolle,Andrew Alvarez,801139.0,674841.0,1.03,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0
823530,2026-07-01T17:35:00Z,DET @ NYY,NYY,DET,Will Warren,Troy Melton,701542.0,675512.0,1.05,,,,,,,,,,,,,,,,,,,7.0,0.231,32.0,3.8,3.46,15.1,3.47,6.0,0.648,5.0
824660,2026-07-01T18:20:00Z,SD @ CHC,CHC,SD,Colin Rea,Walker Buehler,607067.0,621111.0,1.02,,,,,,,,,,,,,,,,,,,8.0,0.366,31.0,5.42,2.87,4.23,3.52,10.0,0.315,72.0
822791,2026-07-01T19:07:00Z,NYM @ TOR,TOR,NYM,TBD,Freddy Peralta,,642547.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.81,2.69,8.0,0.303,29.0
823446,2026-07-01T22:40:00Z,PIT @ PHI,PHI,PIT,Zack Wheeler,Paul Skenes,554430.0,694973.0,1.02,,,,,,,,,,,,,,,,,,,10.0,0.27,88.0,2.64,2.27,1.9,1.94,10.0,0.3,60.0
824905,2026-07-01T23:15:00Z,STL @ ATL,ATL,STL,Reynaldo López,Michael McGreevy,625643.0,700241.0,0.98,,,,,,,,,,,,,,,,,,,3.0,0.288,5.0,2.63,4.68,0.85,0.85,3.0,0.168,9.0
824094,2026-07-01T23:40:00Z,TB @ KC,KC,TB,Seth Lugo,Shane McClanahan,607625.0,663556.0,0.98,,,,,,,,,,,,,,,,,,,13.0,0.334,59.0,6.7,4.0,7.81,3.27,10.0,0.521,31.0
824174,2026-07-02T00:10:00Z,MIN @ HOU,HOU,MIN,Tatsuya Imai,Taj Bradley,837227.0,671737.0,1.03,,,,,,,,,,,,,,,,,,,7.0,0.328,14.0,7.9,1.74,4.83,2.37,9.0,0.246,52.0
823767,2026-07-02T00:10:00Z,CIN @ MIL,MIL,CIN,Shane Drohan,Andrew Abbott,675660.0,671096.0,1.0,,,,,,,,,,,,,,,,,,,7.0,0.363,13.0,3.77,4.68,4.1,2.34,10.0,0.253,98.0
824337,2026-07-02T00:40:00Z,MIA @ COL,COL,MIA,Kyle Freeland,Max Meyer,607536.0,676974.0,1.22,,,,,,,,,,,,,,,,,,,8.0,0.345,40.0,2.43,3.19,5.81,2.88,9.0,0.425,29.0
824985,2026-07-02T01:40:00Z,LAD @ ATH,ATH,LAD,J.T. Ginn,TBD,669372.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.043,2.0,,,,,,,
825064,2026-07-02T01:40:00Z,SF @ AZ,AZ,SF,Zac Gallen,Trevor McDonald,668678.0,686790.0,1.05,,,,,,,,,,,,,,,,,,,11.0,0.264,100.0,4.13,3.32,2.03,3.2,7.0,0.309,22.0
