game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp
823357,2026-07-11T16:05:00Z,MIL @ PIT,PIT,MIL,TBD,TBD,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823356,2026-07-11T20:05:00Z,MIL @ PIT,PIT,MIL,Bubba Chandler,Shane Drohan,696149.0,675660.0,0.99,,,,,,,,,,,,,,,,,,,5.0,0.446,9.0,5.1,5.1,6.0,0.285,13.0,3.37,4.12
823682,2026-07-11T18:10:00Z,LAA @ MIN,MIN,LAA,Joe Ryan,Ryan Johnson,657746.0,696270.0,1.01,,,,,,,,,,,,,,,,,,,8.0,0.268,40.0,0.77,1.97,2.0,0.002,2.0,,
824576,2026-07-11T18:10:00Z,ATH @ CWS,CWS,ATH,Erick Fedde,Gage Jump,607200.0,695611.0,0.97,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,1.0,,2.0,,
823198,2026-07-11T20:05:00Z,COL @ SF,SF,COL,Tyler Mahle,Kyle Freeland,641816.0,607536.0,0.95,,,,,,,,,,,,,,,,,,,11.0,0.251,32.0,1.14,2.75,7.0,0.388,49.0,5.9,3.53
822711,2026-07-11T20:05:00Z,NYY @ WSH,WSH,NYY,Miles Mikolas,Cam Schlittler,571945.0,693645.0,1.0,,,,,,,,,,,,,,,,,,,11.0,0.291,61.0,3.21,3.7,6.0,0.291,12.0,0.43,1.34
823603,2026-07-11T20:10:00Z,BOS @ NYM,NYM,BOS,Freddy Peralta,TBD,642547.0,,0.98,,,,,,,,,,,,,,,,,,,6.0,0.391,17.0,8.43,1.13,,,,,
822953,2026-07-11T20:10:00Z,SEA @ TB,TB,SEA,Griffin Jax,Logan Gilbert,643377.0,669302.0,0.97,,,,,,,,,,,,,,,,,,,11.0,0.281,39.0,6.24,4.72,6.0,0.221,25.0,2.66,3.09
823844,2026-07-11T20:10:00Z,CLE @ MIA,MIA,CLE,Eury Pérez,Tanner Bibee,691587.0,676440.0,0.95,,,,,,,,,,,,,,,,,,,7.0,0.262,14.0,5.6,0.47,6.0,0.181,17.0,1.85,3.9
824249,2026-07-11T22:10:00Z,PHI @ DET,DET,PHI,Casey Mize,Cristopher Sánchez,663554.0,650911.0,0.99,,,,,,,,,,,,,,,,,,,9.0,0.328,31.0,8.38,2.22,6.0,0.194,23.0,1.24,1.63
824813,2026-07-11T23:05:00Z,KC @ BAL,BAL,KC,Kyle Bradish,Noah Cameron,680694.0,702070.0,1.01,,,,,,,,,,,,,,,,,,,9.0,0.425,23.0,6.1,5.14,3.0,0.366,5.0,6.1,7.12
822875,2026-07-11T23:05:00Z,HOU @ TEX,TEX,HOU,Kumar Rocker,Peter Lambert,677958.0,663567.0,1.02,,,,,,,,,,,,,,,,,,,8.0,0.266,18.0,4.9,3.12,10.0,0.296,39.0,6.38,3.88
824492,2026-07-11T23:10:00Z,CHC @ CIN,CIN,CHC,Nick Lodolo,Javier Assad,666157.0,665871.0,1.04,,,,,,,,,,,,,,,,,,,9.0,0.316,83.0,4.4,4.25,8.0,0.228,55.0,3.65,2.79
823030,2026-07-11T23:15:00Z,ATL @ STL,STL,ATL,Matthew Liberatore,Reynaldo López,669461.0,625643.0,0.99,,,,,,,,,,,,,,,,,,,11.0,0.284,44.0,3.1,3.15,9.0,0.267,22.0,1.67,2.84
823276,2026-07-12T00:40:00Z,TOR @ SD,SD,TOR,Walker Buehler,Trey Yesavage,621111.0,702056.0,0.95,,,,,,,,,,,,,,,,,,,8.0,0.372,38.0,6.1,3.6,0.0,,0.0,,
823926,2026-07-12T01:10:00Z,AZ @ LAD,LAD,AZ,Yoshinobu Yamamoto,Brandon Pfaadt,808967.0,694297.0,0.96,,,,,,,,,,,,,,,,,,,9.0,0.199,84.0,3.33,2.61,13.0,0.329,121.0,4.66,3.39
