game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823759,2026-07-24T20:10:00Z,COL @ MIL,MIL,COL,Shane Drohan,Tomoyuki Sugano,675660,608372,1.0,,,,,,,,,,,,,,,,,,,3,7,6,4,2.16,4.21,8,0.306,20,2.67,3.67,6,0.223,17
824248,2026-07-24T22:40:00Z,KC @ DET,DET,KC,Tarik Skubal,Beck Way,669373,694360,0.99,,,,,,,,,,,,,,,,,,,5,5,6,4,3.94,2.65,11,0.3,68,,,0,,0
823352,2026-07-24T22:40:00Z,CHC @ PIT,PIT,CHC,Jared Jones,Matthew Boyd,683003,571510,0.99,,,,,,,,,,,,,,,,,,,5,5,6,4,5.76,3.75,9,0.319,54,2.1,3.93,8,0.442,38
822707,2026-07-24T22:45:00Z,AZ @ WSH,WSH,AZ,Carson Palmquist,Eduardo Rodriguez,687223,593958,1.0,,,,,,,,,,,,,,,,,,,8,2,5,5,2.5,3.44,6,0.435,20,3.98,2.79,11,0.302,47
823434,2026-07-24T22:45:00Z,NYY @ PHI,PHI,NYY,Jesús Luzardo,Cam Schlittler,666200,693645,1.02,,,,,,,,,,,,,,,,,,,7,3,5,5,3.38,3.48,9,0.361,49,4.9,,5,,8
824812,2026-07-24T23:05:00Z,ATL @ BAL,BAL,ATL,Trevor Rogers,Grant Holmes,669432,656550,1.01,,,,,,,,,,,,,,,,,,,6,4,8,2,2.5,2.95,10,0.252,73,7.9,6.34,8,0.395,17
823601,2026-07-24T23:10:00Z,LAD @ NYM,NYM,LAD,Sean Manaea,Roki Sasaki,640455,808963,0.98,,,,,,,,,,,,,,,,,,,5,5,4,6,7.31,4.7,10,0.456,118,3.1,4.27,2,0.132,4
822952,2026-07-24T23:10:00Z,CLE @ TB,TB,CLE,Shane McClanahan,Joey Cantillo,663556,676282,0.97,,,,,,,,,,,,,,,,,,,6,4,4,6,3.31,2.01,4,0.283,19,5.01,0.73,5,0.315,11
823843,2026-07-24T23:10:00Z,SD @ MIA,MIA,SD,Ryan Gusto,Germán Márquez,687473,608566,0.95,,,,,,,,,,,,,,,,,,,4,6,1,9,2.7,5.2,6,0.393,21,0.6,1.38,4,0.375,11
824733,2026-07-24T23:15:00Z,TOR @ BOS,BOS,TOR,Patrick Sandoval,Trey Yesavage,663776,702056,1.03,,,,,,,,,,,,,,,,,,,3,7,9,1,2.59,4.38,8,0.348,34,2.8,2.59,9,0.156,33
824573,2026-07-24T23:40:00Z,HOU @ CWS,CWS,HOU,Davis Martin,Spencer Arrighetti,663436,681293,0.97,,,,,,,,,,,,,,,,,,,4,6,7,3,4.32,4.09,10,0.316,38,6.13,,2,0.315,6
822872,2026-07-25T00:05:00Z,SEA @ TEX,TEX,SEA,MacKenzie Gore,Bryce Miller,669022,682243,1.02,,,,,,,,,,,,,,,,,,,4,6,5,5,5.45,2.73,8,0.385,55,10.87,4.66,7,0.389,31
823680,2026-07-25T00:10:00Z,ATH @ MIN,MIN,ATH,Zebby Matthews,Jacob Lopez,805673,682052,1.01,,,,,,,,,,,,,,,,,,,2,8,5,5,3.1,4.14,6,0.317,13,4.0,1.04,9,0.171,34
823031,2026-07-25T00:15:00Z,CIN @ STL,STL,CIN,Dustin May,Rhett Lowder,669160,695076,0.99,,,,,,,,,,,,,,,,,,,5,5,4,6,5.65,3.37,6,0.43,22,3.5,4.41,8,0.289,15
823196,2026-07-25T02:15:00Z,LAA @ SF,SF,LAA,Logan Webb,Grayson Rodriguez,657277,680570,0.95,,,,,,,,,,,,,,,,,,,4,6,4,6,2.07,0.33,9,0.3,36,3.13,5.17,6,0.436,13
