game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_season_era,away_pitcher_season_era,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_pitcher_season_xfip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,away_pitcher_season_xfip,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823514,2026-08-08T19:05:00Z,ATL @ NYY,NYY,ATL,Gerrit Cole,Chris Sale,543037,519242,1.05,,,,,,,,,,,,,,,,,,,8,2,5,5,3.39,2.2,3.08,2.07,3.13,8,0.283,44,1.17,1.99,2.6,7,0.205,33
824726,2026-08-08T20:10:00Z,ATH @ BOS,BOS,ATH,Jake Bennett,Gage Jump,687562,695611,1.03,,,,,,,,,,,,,,,,,,,1,9,9,1,2.78,4.65,6.1,4.54,3.51,7,0.283,18,2.1,2.88,3.66,7,0.255,15
823834,2026-08-08T20:10:00Z,LAA @ MIA,MIA,LAA,Sandy Alcantara,Walbert Ureña,645261,700712,0.95,,,,,,,,,,,,,,,,,,,3,7,5,5,3.61,2.48,7.33,5.76,3.54,9,0.342,64,,,3.85,1,,1
823426,2026-08-08T22:05:00Z,TOR @ PHI,PHI,TOR,Aaron Nola,Max Scherzer,605400,453286,1.02,,,,,,,,,,,,,,,,,,,6,4,5,5,5.55,7.92,6.93,4.7,3.56,9,0.311,74,4.11,3.17,4.5,13,0.242,213
823348,2026-08-08T22:40:00Z,NYM @ PIT,PIT,NYM,Bubba Chandler,Robert Stock,696149,476594,0.99,,,,,,,,,,,,,,,,,,,6,4,2,8,4.49,1.8,,,4.38,0,,0,,,1.57,1,0.699,0
822701,2026-08-08T22:45:00Z,CIN @ WSH,WSH,CIN,Andrew Alvarez,Chase Burns,674841,695505,1.0,,,,,,,,,,,,,,,,,,,7,3,2,8,3.94,2.35,,,3.39,0,,0,1.04,2.03,3.05,6,0.263,24
824079,2026-08-08T23:10:00Z,CHC @ KC,KC,CHC,Seth Lugo,Clay Holmes,607625,605280,0.98,,,,,,,,,,,,,,,,,,,7,3,3,7,4.41,2.39,3.06,3.69,4.3,13,0.231,96,5.81,5.26,3.31,10,0.375,35
823752,2026-08-08T23:10:00Z,MIN @ MIL,MIL,MIN,Robert Gasser,Taj Bradley,688107,671737,1.0,,,,,,,,,,,,,,,,,,,5,5,6,4,4.48,3.69,5.63,6.35,3.54,9,0.363,15,7.21,2.3,3.36,7,0.315,21
823267,2026-08-08T23:15:00Z,HOU @ SD,SD,HOU,Michael King,Peter Lambert,650633,663567,0.95,,,,,,,,,,,,,,,,,,,8,2,6,4,3.45,3.06,4.05,3.04,4.03,13,0.202,84,6.83,4.64,3.97,9,0.344,52
823188,2026-08-08T23:15:00Z,DET @ SF,SF,DET,Landen Roupp,Jackson Jobe,694738,695549,0.95,,,,,,,,,,,,,,,,,,,6,4,4,6,4.34,,5.28,6.62,3.38,6,0.347,11,3.47,4.51,,4,0.264,11
823021,2026-08-08T23:15:00Z,COL @ STL,STL,COL,Matthew Liberatore,Kyle Freeland,669461,607536,0.99,,,,,,,,,,,,,,,,,,,3,7,5,5,4.97,6.81,5.86,4.87,3.56,7,0.404,18,4.36,3.88,3.84,7,0.315,27
822864,2026-08-08T23:15:00Z,BAL @ TEX,TEX,BAL,Jacob deGrom,Kyle Bradish,594798,680694,1.02,,,,,,,,,,,,,,,,,,,5,5,4,6,3.96,3.79,2.17,2.12,2.64,7,0.211,35,5.15,5.56,3.53,5,0.387,15
824565,2026-08-08T23:15:00Z,CLE @ CWS,CWS,CLE,Anthony Kay,Gavin Williams,641743,668909,0.97,,,,,,,,,,,,,,,,,,,4,6,4,6,4.01,3.56,6.24,5.5,4.34,9,0.274,25,3.38,3.62,2.43,9,0.351,43
825049,2026-08-09T00:10:00Z,LAD @ AZ,AZ,LAD,Brandon Pfaadt,Yoshinobu Yamamoto,694297,808967,1.05,,,,,,,,,,,,,,,,,,,2,8,7,3,3.66,2.76,4.97,4.02,3.76,12,0.356,172,3.54,2.99,2.91,12,0.175,110
823102,2026-08-09T01:50:00Z,TB @ SEA,SEA,TB,George Kirby,Griffin Jax,669923,643377,0.97,,,,,,,,,,,,,,,,,,,7,3,4,6,3.76,3.63,1.96,3.52,3.39,9,0.282,50,7.22,4.88,2.99,11,0.311,46
