date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/15,,vs,L 0-1,3.1,6,5,5,3,2,9,81
6/9,,@,L 0-1,4.0,7,7,5,0,3,5,93
6/4,,vs,L 0-1,5.0,7,5,4,1,2,1,87
5/29,,vs,ND,5.0,3,3,3,2,4,7,91
5/23,,@,W 1-0,6.0,2,0,0,0,3,6,89
5/16,,vs,W 1-0,5.0,2,0,0,0,4,7,76
5/10,,@,L 0-1,3.0,5,3,3,0,1,1,63
5/4,,vs,ND,2.0,1,0,0,0,0,2,31
5/2,,@,ND,1.1,0,0,0,0,1,2,23
4/28,,@,L 0-1,3.0,5,2,2,0,0,2,42
4/25,,vs,L 0-1,0.1,2,1,1,1,0,0,9
4/21,,@,ND,2.2,0,0,0,0,1,2,31
4/19,,vs,ND,2.0,1,0,0,0,1,3,35
4/16,,vs,ND,2.0,1,0,0,0,0,0,21
4/14,,vs,ND,1.1,0,1,1,0,2,2,30
4/11,,@,ND,0.2,0,0,0,0,1,2,20
4/8,,@,ND,1.1,0,0,0,0,0,1,18
4/7,,@,ND,0.2,1,1,1,1,0,0,7
4/4,,@,ND,2.1,2,0,0,0,0,3,33
4/1,,vs,ND,1.0,1,1,1,1,0,1,14
3/28,,vs,W 1-0,2.1,1,0,0,0,1,2,39
