batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Tommy Edman,669242,2,2025,0.0,0,0.532,0.5,0.0,97.6
Shohei Ohtani,660271,6,2025–2026,0.0,0,0.51,0.75,0.529,95.9
Andy Pages,681624,7,2025–2026,0.286,1,0.461,0.571,0.143,96.5
Kyle Tucker,663656,7,2023–2026,0.143,0,0.429,0.5,0.0,88.9
Max Muncy,571970,3,2025–2026,0.0,0,0.424,0.2,0.111,89.6
Freddie Freeman,518692,6,2025–2026,0.333,0,0.342,0.571,0.059,87.7
Alex Freeland,690976,2,2025,0.5,0,0.334,1.0,0.0,101.9
Mookie Betts,605141,6,2025–2026,0.0,0,0.305,0.375,0.0,89.6
Miguel Rojas,500743,2,2025–2026,0.5,0,0.122,0.5,0.0,65.8
Ryan Ward,669899,1,2026,0.0,0,,0.0,0.0,87.1
