batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Gary Sánchez,596142,11,2020–2024,0.182,1,0.41,0.5,0.36,93.6
Brice Turang,668930,10,2023–2025,0.4,0,0.324,0.182,0.05,85.2
Christian Yelich,592885,20,2016–2024,0.2,0,0.312,0.655,0.148,96.5
David Hamilton,666152,3,2024,0.333,0,0.309,0.0,0.125,90.2
William Contreras,661388,20,2021–2025,0.2,1,0.273,0.556,0.356,90.1
Joey Ortiz,687401,5,2024–2025,0.2,0,0.222,0.0,0.286,78.1
Blake Perkins,663368,5,2024–2025,0.0,0,0.213,0.25,0.25,78.4
Garrett Mitchell,669003,3,2024,0.0,0,0.207,0.333,0.0,72.8
Jackson Chourio,694192,5,2024–2025,0.0,0,0.167,0.0,0.455,82.8
Sal Frelick,686217,9,2023–2025,0.111,0,0.16,0.0,0.238,79.0
Jake Bauers,641343,6,2018–2025,0.0,0,0.137,0.0,0.571,78.2
