game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824673,2026-06-05T18:20:00Z,SF @ CHC,CHC,SF,TBD,Robbie Ray,,592662.0,,,,,3.94,8.0,0.262,49.0
824271,2026-06-05T22:40:00Z,SEA @ DET,DET,SEA,Framber Valdez,Bryan Woo,664285.0,693433.0,9.0,0.319,117.0,3.86,1.37,8.0,0.152,35.0
823455,2026-06-05T22:40:00Z,CWS @ PHI,PHI,CWS,Jesús Luzardo,Anthony Kay,666200.0,641743.0,7.0,0.283,24.0,3.55,4.65,8.0,0.377,13.0
823538,2026-06-05T23:05:00Z,BOS @ NYY,NYY,BOS,Ryan Weathers,Sonny Gray,677960.0,543243.0,3.0,0.694,15.0,12.47,3.06,11.0,0.373,90.0
822810,2026-06-05T23:07:00Z,BAL @ TOR,TOR,BAL,TBD,Brandon Young,,687064.0,,,,,1.94,10.0,0.302,43.0
823860,2026-06-05T23:10:00Z,TB @ MIA,MIA,TB,Ryan Gusto,Drew Rasmussen,687473.0,656876.0,6.0,0.345,7.0,6.1,2.68,12.0,0.361,47.0
824914,2026-06-05T23:15:00Z,PIT @ ATL,ATL,PIT,Martín Pérez,Mitch Keller,527048.0,656605.0,6.0,0.351,27.0,3.85,5.06,12.0,0.273,90.0
824186,2026-06-06T00:10:00Z,ATH @ HOU,HOU,ATH,Peter Lambert,Jack Perkins,663567.0,678022.0,6.0,0.312,8.0,6.13,1.1,3.0,0.014,3.0
823049,2026-06-06T00:15:00Z,CIN @ STL,STL,CIN,Kyle Leahy,Brady Singer,681517.0,663903.0,11.0,0.317,40.0,3.1,3.7,9.0,0.265,47.0
822892,2026-06-06T00:15:00Z,CLE @ TEX,TEX,CLE,Kumar Rocker,Parker Messick,677958.0,800048.0,1.0,,1.0,,,0.0,,0.0
823699,2026-06-06T00:15:00Z,KC @ MIN,MIN,KC,Zebby Matthews,Michael Wacha,805673.0,608379.0,8.0,0.506,35.0,4.75,4.35,11.0,0.263,77.0
824350,2026-06-06T00:40:00Z,MIL @ COL,COL,MIL,Ryan Feltner,Brandon Sproat,663372.0,687075.0,12.0,0.328,74.0,1.99,1.1,5.0,0.276,7.0
825073,2026-06-06T01:40:00Z,WSH @ AZ,AZ,WSH,Merrill Kelly,Foster Griffin,518876.0,656492.0,6.0,0.357,27.0,4.99,,0.0,,0.0
823293,2026-06-06T01:40:00Z,NYM @ SD,SD,NYM,Michael King,Christian Scott,650633.0,681035.0,7.0,0.366,47.0,5.06,,0.0,,0.0
823943,2026-06-06T02:10:00Z,LAA @ LAD,LAD,LAA,TBD,TBD,,,,,,,,,,
