game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp
824663,2026-06-19T18:20:00Z,TOR @ CHC,CHC,TOR,TBD,TBD,,,,,,,,,,
824264,2026-06-19T22:40:00Z,CWS @ DET,DET,CWS,Tarik Skubal,Erick Fedde,669373.0,607200.0,7.0,0.226,38.0,2.13,10.0,0.321,45.0,7.72
823534,2026-06-19T23:05:00Z,CIN @ NYY,NYY,CIN,TBD,Rhett Lowder,,695076.0,,,,,2.0,0.442,4.0,6.13
822966,2026-06-19T23:10:00Z,WSH @ TB,TB,WSH,Griffin Jax,Cade Cavalli,643377.0,676917.0,6.0,0.314,11.0,0.8,2.0,0.092,6.0,-0.5
823853,2026-06-19T23:10:00Z,SF @ MIA,MIA,SF,TBD,TBD,,,,,,,,,,
824910,2026-06-19T23:15:00Z,MIL @ ATL,ATL,MIL,TBD,Jacob Misiorowski,,694819.0,,,,,0.0,,0.0,
822886,2026-06-20T00:05:00Z,SD @ TEX,TEX,SD,TBD,Randy Vásquez,,681190.0,,,,,9.0,0.233,32.0,4.85
824179,2026-06-20T00:10:00Z,CLE @ HOU,HOU,CLE,Tatsuya Imai,Tanner Bibee,837227.0,676440.0,0.0,,0.0,,11.0,0.343,65.0,5.38
824097,2026-06-20T00:15:00Z,STL @ KC,KC,STL,Seth Lugo,Michael McGreevy,607625.0,700241.0,4.0,0.606,8.0,9.75,2.0,0.126,6.0,0.7
824345,2026-06-20T00:40:00Z,PIT @ COL,COL,PIT,Kyle Freeland,Bubba Chandler,607536.0,696149.0,6.0,0.347,36.0,4.7,5.0,0.252,5.0,3.1
824990,2026-06-20T01:40:00Z,LAA @ ATH,ATH,LAA,Jeffrey Springs,TBD,605488.0,,7.0,0.338,44.0,3.52,,,,
825069,2026-06-20T01:45:00Z,MIN @ AZ,AZ,MIN,Michael Soroka,TBD,647336.0,,7.0,0.239,18.0,1.13,,,,
823936,2026-06-20T02:10:00Z,BAL @ LAD,LAD,BAL,Roki Sasaki,TBD,808963.0,,1.0,0.074,2.0,,,,,
823124,2026-06-20T02:10:00Z,BOS @ SEA,SEA,BOS,Bryce Miller,Ranger Suarez,682243.0,624133.0,8.0,0.4,26.0,3.39,10.0,0.246,43.0,2.91
