game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824659,2026-07-03T20:05:00Z,STL @ CHC,CHC,STL,TBD,Andre Pallante,,669467.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,6.72,4.33,10.0,0.374,73.0
822714,2026-07-03T22:45:00Z,PIT @ WSH,WSH,PIT,Foster Griffin,TBD,656492.0,,1.0,,,,,,,,,,,,,,,,,,,6.0,0.308,15.0,5.5,3.24,,,,,
823527,2026-07-03T23:05:00Z,MIN @ NYY,NYY,MIN,Gerrit Cole,Mike Paredes,543037.0,702474.0,1.05,,,,,,,,,,,,,,,,,,,6.0,0.349,33.0,7.99,4.36,,,0.0,,0.0
824498,2026-07-03T23:10:00Z,BAL @ CIN,CIN,BAL,Brady Singer,Trevor Rogers,663903.0,669432.0,1.04,,,,,,,,,,,,,,,,,,,7.0,0.283,25.0,4.03,2.94,10.03,4.28,6.0,0.425,14.0
824417,2026-07-03T23:10:00Z,CWS @ CLE,CLE,CWS,Gavin Williams,Anthony Kay,668909.0,641743.0,0.97,,,,,,,,,,,,,,,,,,,10.0,0.344,33.0,1.81,3.13,2.5,3.32,7.0,0.271,18.0
824904,2026-07-03T23:15:00Z,NYM @ ATL,ATL,NYM,TBD,Christian Scott,,681035.0,0.98,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.08,7.0,0.176,17.0
824336,2026-07-04T00:10:00Z,SF @ COL,COL,SF,TBD,TBD,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824173,2026-07-04T00:15:00Z,TB @ HOU,HOU,TB,Spencer Arrighetti,TBD,681293.0,,1.03,,,,,,,,,,,,,,,,,,,4.0,0.294,6.0,4.63,4.63,,,,,
824013,2026-07-04T01:38:00Z,BOS @ LAA,LAA,BOS,TBD,Jake Bennett,,687562.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
824982,2026-07-04T01:40:00Z,MIA @ ATH,ATH,MIA,TBD,TBD,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825062,2026-07-04T01:45:00Z,MIL @ AZ,AZ,MIL,Jose Cabrera,TBD,703615.0,,1.05,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,
823933,2026-07-04T02:10:00Z,SD @ LAD,LAD,SD,Shohei Ohtani,Michael King,660271.0,650633.0,0.96,,,,,,,,,,,,,,,,,,,9.0,0.4,47.0,4.32,3.61,6.38,4.07,12.0,0.407,99.0
823120,2026-07-04T02:10:00Z,TOR @ SEA,SEA,TOR,TBD,Dylan Cease,,656302.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,3.25,2.32,9.0,0.276,60.0
