game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823359,2026-07-09T16:35:00Z,ATL @ PIT,PIT,ATL,Mitch Keller,Bryce Elder,656605.0,693821.0,0.99,,,,,,,,,,,,,,,,,,,4.82,4.29,10.0,0.319,90.0,3.32,3.57,10.0,0.193,47.0
823606,2026-07-09T17:10:00Z,KC @ NYM,NYM,KC,Sean Manaea,Michael Wacha,640455.0,608379.0,0.98,,,,,,,,,,,,,,,,,,,4.84,2.68,10.0,0.369,57.0,4.74,4.27,10.0,0.301,53.0
822954,2026-07-09T17:10:00Z,NYY @ TB,TB,NYY,Drew Rasmussen,TBD,656876.0,,0.97,,,,,,,,,,,,,,,,,,,2.15,2.1,12.0,0.233,92.0,,,,,
823683,2026-07-09T17:40:00Z,CLE @ MIN,MIN,CLE,Mike Paredes,Gavin Williams,702474.0,668909.0,1.01,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.06,2.56,9.0,0.238,59.0
824577,2026-07-09T18:10:00Z,BOS @ CWS,CWS,BOS,Anthony Kay,Patrick Sandoval,641743.0,663776.0,0.97,,,,,,,,,,,,,,,,,,,,,2.0,0.246,2.0,2.71,4.08,3.0,0.465,9.0
824816,2026-07-09T22:35:00Z,CHC @ BAL,BAL,CHC,Trevor Rogers,David Peterson,669432.0,656849.0,1.01,,,,,,,,,,,,,,,,,,,2.43,2.88,9.0,0.296,49.0,0.79,1.43,8.0,0.218,39.0
824251,2026-07-09T22:40:00Z,ATH @ DET,DET,ATH,Framber Valdez,Jack Perkins,664285.0,678022.0,0.99,,,,,,,,,,,,,,,,,,,5.05,3.2,9.0,0.324,78.0,,,1.0,0.215,2.0
823846,2026-07-09T22:40:00Z,SEA @ MIA,MIA,SEA,TBD,Bryce Miller,,682243.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.42,3.0,0.504,11.0
824494,2026-07-09T23:10:00Z,PHI @ CIN,CIN,PHI,Brady Singer,Jesús Luzardo,663903.0,666200.0,1.04,,,,,,,,,,,,,,,,,,,2.16,1.96,10.0,0.293,40.0,2.66,3.86,11.0,0.36,41.0
823034,2026-07-09T23:45:00Z,MIL @ STL,STL,MIL,Andre Pallante,Logan Henderson,669467.0,701656.0,0.99,,,,,,,,,,,,,,,,,,,5.63,4.43,11.0,0.307,78.0,,,0.0,,0.0
822877,2026-07-10T00:05:00Z,LAA @ TEX,TEX,LAA,Nathan Eovaldi,Reid Detmers,543135.0,672282.0,1.02,,,,,,,,,,,,,,,,,,,2.59,3.76,11.0,0.282,80.0,1.76,1.02,9.0,0.198,55.0
823277,2026-07-10T01:40:00Z,AZ @ SD,SD,AZ,Griffin Canning,Merrill Kelly,656288.0,518876.0,0.95,,,,,,,,,,,,,,,,,,,4.05,3.31,10.0,0.304,58.0,5.51,3.47,9.0,0.367,115.0
823201,2026-07-10T01:45:00Z,COL @ SF,SF,COL,TBD,Ryan Feltner,,663372.0,0.95,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.41,11.0,0.292,70.0
