game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp
823349,2026-08-07T22:40:00Z,NYM @ PIT,PIT,NYM,TBD,TBD,,,0.99,,,,,,,,,,,,,,,,,,,6,4,4,6,,,,,,,,,,
823428,2026-08-07T22:40:00Z,TOR @ PHI,PHI,TOR,TBD,José Soriano,,667755.0,1.02,,,,,,,,,,,,,,,,,,,6,4,5,5,,,,,,8.0,0.218,28.0,2.15,2.65
822699,2026-08-07T22:45:00Z,CIN @ WSH,WSH,CIN,TBD,TBD,,,1.0,,,,,,,,,,,,,,,,,,,7,3,2,8,,,,,,,,,,
823515,2026-08-07T23:05:00Z,ATL @ NYY,NYY,ATL,Max Fried,TBD,608331.0,,1.05,,,,,,,,,,,,,,,,,,,8,2,5,5,5.0,0.266,44.0,3.41,3.42,,,,,
824727,2026-08-07T23:10:00Z,ATH @ BOS,BOS,ATH,TBD,TBD,,,1.03,,,,,,,,,,,,,,,,,,,1,9,9,1,,,,,,,,,,
823836,2026-08-07T23:10:00Z,LAA @ MIA,MIA,LAA,TBD,TBD,,,0.95,,,,,,,,,,,,,,,,,,,2,8,6,4,,,,,,,,,,
824566,2026-08-07T23:40:00Z,CLE @ CWS,CWS,CLE,TBD,Parker Messick,,800048.0,0.97,,,,,,,,,,,,,,,,,,,3,7,5,5,,,,,,10.0,0.265,47.0,3.02,2.98
823750,2026-08-07T23:40:00Z,MIN @ MIL,MIL,MIN,Shane Drohan,TBD,675660.0,,1.0,,,,,,,,,,,,,,,,,,,5,5,6,4,0.0,,0.0,,,,,,,
824081,2026-08-08T00:10:00Z,CHC @ KC,KC,CHC,TBD,TBD,,,0.98,,,,,,,,,,,,,,,,,,,7,3,5,5,,,,,,,,,,
823024,2026-08-08T00:15:00Z,COL @ STL,STL,COL,Kyle Leahy,Ryan Feltner,681517.0,663372.0,0.99,,,,,,,,,,,,,,,,,,,3,7,3,7,8.0,0.222,16.0,0.9,1.52,5.0,0.202,20.0,3.31,1.85
822863,2026-08-08T00:15:00Z,BAL @ TEX,TEX,BAL,Nathan Eovaldi,TBD,543135.0,,1.02,,,,,,,,,,,,,,,,,,,6,4,4,6,10.0,0.365,35.0,3.37,4.14,,,,,
825051,2026-08-08T01:40:00Z,LAD @ AZ,AZ,LAD,TBD,Roki Sasaki,,808963.0,1.05,,,,,,,,,,,,,,,,,,,2,8,5,5,,,,,,10.0,0.305,19.0,6.53,5.75
823266,2026-08-08T01:40:00Z,HOU @ SD,SD,HOU,Robbie Ray,Ronel Blanco,592662.0,669854.0,0.95,,,,,,,,,,,,,,,,,,,7,3,8,2,6.0,0.368,46.0,8.71,5.96,3.0,0.373,9.0,2.8,4.86
823103,2026-08-08T01:45:00Z,TB @ SEA,SEA,TB,TBD,Drew Rasmussen,,656876.0,0.97,,,,,,,,,,,,,,,,,,,7,3,4,6,,,,,,10.0,0.27,42.0,4.64,3.04
823191,2026-08-08T02:15:00Z,DET @ SF,SF,DET,TBD,TBD,,,0.95,,,,,,,,,,,,,,,,,,,6,4,4,6,,,,,,,,,,
